x,Sol_ap,Sol_exact
0.007256,45.6709,45.6676
0.007264,45.6659,45.6626
0.007272,45.6609,45.6575
0.00728,45.6559,45.6525
0.007288,45.6509,45.6475
0.007296,45.6458,45.6425
0.007304,45.6408,45.6375
0.007312,45.6358,45.6324
0.00732,45.6308,45.6274
0.007328,45.6258,45.6224
0.007336,45.6208,45.6174
0.007344,45.6157,45.6124
0.007352,45.6107,45.6074
0.00736,45.6057,45.6024
0.007368,45.6007,45.5974
0.007376,45.5957,45.5924
0.007384,45.5907,45.5874
0.007392,45.5857,45.5823
0.0074,45.5807,45.5773
0.007408,45.5757,45.5723
0.007416,45.5707,45.5673
0.007424,45.5657,45.5623
0.007432,45.5607,45.5573
0.00744,45.5557,45.5523
0.007448,45.5507,45.5473
0.007456,45.5457,45.5423
0.007464,45.5407,45.5373
0.007472,45.5357,45.5323
0.00748,45.5307,45.5274
0.007488,45.5257,45.5224
0.007496,45.5207,45.5174
