x,SolX0,SolXM_2,SolXM
112,28.8955,28.8929,28.8938
112.5,28.7104,28.7079,28.7089
113,28.5291,28.5268,28.5279
113.5,28.3516,28.3494,28.3506
114,28.1778,28.1757,28.177
114.5,28.0077,28.0056,28.007
115,27.8411,27.8391,27.8405
115.5,27.678,27.6761,27.6775
116,27.5182,27.5164,27.5179
116.5,27.3619,27.3601,27.3616
117,27.2088,27.207,27.2085
117.5,27.0588,27.0571,27.0586
118,26.912,26.9103,26.9119
118.5,26.7683,26.7666,26.7682
119,26.6276,26.6259,26.6274
119.5,26.4897,26.4881,26.4897
120,26.3548,26.3532,26.3547
120.5,30.5112,26.3436,26.2296
121,32.4809,26.488,26.1281
121.5,33.8959,26.7493,26.0642
122,35.0302,27.0823,26.0477
122.5,35.9875,27.4541,26.0817
123,36.8204,27.8441,26.165
123.5,37.5602,28.2404,26.2928
124,38.227,28.6364,26.4593
124.5,38.8355,29.0286,26.658
125,39.396,29.4151,26.8829
125.5,39.9166,29.7948,27.1287
126,40.4037,30.1674,27.3906
126.5,40.8623,30.5326,27.6647
127,41.2963,30.8905,27.9476
127.5,41.709,31.241,28.2366
128,42.1032,31.5843,28.5294
128.5,42.4811,31.9205,28.8241
129,42.8444,32.2497,29.1194
129.5,43.1947,32.572,29.4139
130,43.5333,32.8877,29.7067
130.5,43.8611,33.1968,29.9971
131,44.1791,33.4994,30.2845
131.5,44.488,33.7958,30.5683
132,44.7885,34.086,30.8482
132.5,45.0811,34.3701,31.1239
133,45.3663,34.6483,31.3953
133.5,45.6444,34.9208,31.6621
